Date,Actual,Expected,Anomaly_Score,Note
2025-07-04,10430,7980.73,30.68979937330735,Holiday
2025-05-10,9629,8336.305,15.50681460141868,
2025-05-11,10141,8810.205,15.105152605122123,
2025-06-21,9023,7843.712,15.034821508719975,
2025-05-17,9911,8748.315,13.290382355978132,
2025-07-07,7557,9325.5205,-18.964308816123598,
2025-07-08,7596,9210.564,-17.529484336621774,
2025-07-01,7471,8901.665,-16.071881302929523,
2025-07-06,8282,9847.676,-15.898937130231792,
2025-07-30,6329,7497.9683,-15.590466922712592,
